dataVersion,playerId,username,stageName,stageType,isStageUnlock,stageClearTimes,bestPlayerStar,bestPlayerScore,bestPlayerClearTime
Version-1,65bc968e51ce7228bbeb3dba,clear,Creating First Version (Practice),Basic,True,0,0,0,0
Version-1,65bc968e51ce7228bbeb3dba,clear,Switching Project Versions (Practice),Basic,True,0,0,0,0
Version-1,65bc968e51ce7228bbeb3dba,clear,Git Branching Basics (Practice),Branch,True,0,0,0,0
Version-1,65bc968e51ce7228bbeb3dba,clear,Fast-Forward Merging (Practice),Branch,True,0,0,0,0
Version-1,65bc968e51ce7228bbeb3dba,clear,Auto Merging (Practice),Branch,True,0,0,0,0
Version-1,65bc968e51ce7228bbeb3dba,clear,Merge Conflicts (Practice),Branch,True,0,0,0,0
Version-1,65bc968e51ce7228bbeb3dba,clear,Create Remote Repository (Practice),Remote,True,0,0,0,0
Version-1,65bc968e51ce7228bbeb3dba,clear,Push to Remote Branches (Practice),Remote,True,0,0,0,0
Version-1,65bc968e51ce7228bbeb3dba,clear,Keep Branches in Sync (Practice),Remote,True,0,0,0,0
Version-1,65bc968e51ce7228bbeb3dba,clear,Preparation for Merging (Practice),Remote,True,0,0,0,0
Version-1,65bc968e51ce7228bbeb3dba,clear,Creating a Pull Request (Practice),Remote,True,0,0,0,0
Version-1,65bc968e51ce7228bbeb3dba,clear,Review and Merge Pull Requests (Practice),Remote,False,0,0,0,0
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Game Introduction (Tutorial),Basic,True,4,4,7000,24
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Version Control and Git (Tutorial),Basic,True,1,3,2000,29
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Local Repository (Tutorial),Basic,True,2,4,4000,21
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Basic Staging Area (Tutorial),Basic,True,2,4,5000,31
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Advanced Staging Area (Tutorial),Basic,True,1,4,6000,53
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Creating First Version (Tutorial),Basic,True,1,4,16000,110
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Switching Project Versions (Tutorial),Basic,True,1,4,8000,74
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Git Branching Basics (Tutorial),Branch,True,1,4,9000,76
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Fast-Forward Merging (Tutorial),Branch,True,2,4,6000,63
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Auto Merging (Tutorial),Branch,True,1,4,8000,122
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Merge Conflicts (Tutorial),Branch,True,1,3,6750,87
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Remote Repository (Tutorial),Remote,True,1,4,6000,46
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Push to Remote Branches (Tutorial),Remote,True,1,4,6000,96
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Keep Branches in Sync (Tutorial),Remote,True,1,4,5000,86
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Preparation for Merging (Tutorial),Remote,True,1,4,8000,164
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Creating a Pull Request (Tutorial),Remote,True,1,3,10750,140
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Review and Merge Pull Requests (Tutorial),Remote,True,4,4,4000,45
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Game Introduction (Practice),Basic,True,5,4,7000,18
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Version Control and Git (Practice),Basic,True,3,4,6000,79
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Local Repository (Practice),Basic,True,5,2,3000,13
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Basic Staging Area (Practice),Basic,True,2,1,3000,28
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Advanced Staging Area (Practice),Basic,True,3,1,3000,24
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Creating First Version (Practice),Basic,True,1,1,7750,80
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Switching Project Versions (Practice),Basic,True,2,1,6750,105
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Git Branching Basics (Practice),Branch,True,4,4,9000,77
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Fast-Forward Merging (Practice),Branch,True,1,4,6250,155
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Auto Merging (Practice),Branch,True,1,1,5750,288
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Merge Conflicts (Practice),Branch,True,1,4,8500,471
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Remote Repository (Practice),Remote,True,2,4,6000,33
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Push to Remote Branches (Practice),Remote,True,3,4,6750,87
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Keep Branches in Sync (Practice),Remote,True,2,1,3750,157
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Preparation for Merging (Practice),Remote,True,2,2,6000,130
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Creating a Pull Request (Practice),Remote,True,2,4,11000,289
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Review and Merge Pull Requests (Practice),Remote,True,5,4,5000,54
Version-1,65c07fd7e5681b767119adc4,Player Name,Game Introduction (Tutorial),Basic,True,3,1,5250,116
Version-1,65c07fd7e5681b767119adc4,Player Name,Version Control and Git (Tutorial),Basic,True,1,4,3000,64
