Cluster,cluster_n,CommandsExecuted_count,CommandsExecuted_mean,CommandsExecuted_std,CommandsExecuted_median,CorrectActions_count,CorrectActions_mean,CorrectActions_std,CorrectActions_median,FailedActions_count,FailedActions_mean,FailedActions_std,FailedActions_median,HintQuests_count,HintQuests_mean,HintQuests_std,HintQuests_median,AnswerQuests_count,AnswerQuests_mean,AnswerQuests_std,AnswerQuests_median,PlayDurationMinutes_count,PlayDurationMinutes_mean,PlayDurationMinutes_std,PlayDurationMinutes_median,LeaderboardInteractions_count,LeaderboardInteractions_mean,LeaderboardInteractions_std,LeaderboardInteractions_median,LearningEfficiency_count,LearningEfficiency_mean,LearningEfficiency_std,LearningEfficiency_median,AccuracyRate_count,AccuracyRate_mean,AccuracyRate_std,AccuracyRate_median,PerfectQuestRate_count,PerfectQuestRate_mean,PerfectQuestRate_std,PerfectQuestRate_median,HelpDependencyRatio_count,HelpDependencyRatio_mean,HelpDependencyRatio_std,HelpDependencyRatio_median,StageClearOccurrences_count,StageClearOccurrences_mean,StageClearOccurrences_std,StageClearOccurrences_median,GameProgress_count,GameProgress_mean,GameProgress_std,GameProgress_median,TotalScore_count,TotalScore_mean,TotalScore_std,TotalScore_median,CommandsExecuted_missing,CorrectActions_missing,FailedActions_missing,HintQuests_missing,AnswerQuests_missing,PlayDurationMinutes_missing,LeaderboardInteractions_missing,LearningEfficiency_missing,AccuracyRate_missing,PerfectQuestRate_missing,HelpDependencyRatio_missing,StageClearOccurrences_missing,GameProgress_missing,TotalScore_missing
1,57,57,136.7719298245614,65.00440027519556,138.0,56,21.392857142857142,11.117028006095499,21.0,56,11.303571428571429,16.348388458646472,6.0,56,0.7857142857142857,1.510138894446296,0.0,56,2.4285714285714284,3.5718960732979848,1.0,57,73.15380116959064,25.445658526995498,75.41666666666667,56,15.428571428571429,27.934896483760987,5.5,57,1319.6024388387548,495.35217825322246,1231.8698549588396,56,0.7091344154744647,0.22305394207554177,0.7509677419354839,56,0.9170476401951582,0.06160046455469143,0.929502563543144,56,0.03526505572843232,0.0441311419529515,0.017067550050410486,57,16.228070175438596,9.200189330077572,16.0,57,40.526315789473685,16.396978448959402,44.0,57,91951.75438596492,37937.13781294785,92750.0,0,1,1,1,1,0,1,0,1,1,1,0,0,0
2,32,31,0.12903225806451613,0.7184212081070996,0.0,31,5.612903225806452,4.356431409267901,6.0,31,0.9032258064516129,1.2477937519124818,0.0,31,0.0,0.0,0.0,31,0.06451612903225806,0.24973103811470745,0.0,31,17.279032258064515,56.99145695689219,1.2666666666666666,31,1.7096774193548387,3.057161519962559,0.0,25,3836.542544235903,2462.6685915716116,3567.0731707317073,29,0.7936528988253125,0.34205635921492983,1.0,29,0.9529830322933771,0.07568023330559004,1.0,29,0.005363984674329502,0.0209182269607492,0.0,31,3.5483870967741935,9.233412910646562,1.0,31,5.0,11.34019400186787,2.0,31,12927.41935483871,27308.51466334776,7000.0,1,1,1,1,1,1,1,7,3,3,3,1,1,1
3,15,15,2.933333333333333,6.273147611237994,0.0,15,7.6,3.8692930325097596,6.0,15,21.4,15.85559838038287,14.0,15,0.6666666666666666,0.9759000729485332,0.0,15,1.8,1.8593393604027368,1.0,15,13.712222222222222,19.512616458542944,9.516666666666667,15,0.9333333333333333,1.8695555876298773,0.0,12,756.3707325684671,440.70531978567385,836.9195111947342,15,0.31508256701211035,0.15630797579136219,0.375,15,0.5846326605006662,0.17081493824250812,0.6470588235294118,15,0.19736685759641284,0.19012603492814883,0.18181818181818182,15,1.8666666666666667,1.6846647257229665,1.0,15,3.8,4.161043825085926,2.0,15,6850.0,5597.9907109604965,6500.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
