k,inertia,silhouette,calinski_harabasz,davies_bouldin,stability_ARI,smallest_group_n,eligible,recommended_silhouette,recommended_calinski_harabasz,recommended_davies_bouldin,recommended_stability_ARI
2,865.4191703808458,0.3375914512851171,46.962011984189786,1.2639795398928309,0.6708871912381839,44,True,True,True,True,True
3,693.4048051805656,0.3480892989450528,41.67313915320562,1.073168074722571,0.7913523722583713,4,False,False,False,False,False
4,542.582153030468,0.38522522245067814,44.51504233919144,0.9385335390864761,0.6878606064008529,4,False,False,False,False,False
5,459.23988427944323,0.40374951181478896,43.59160338267255,0.9310845809776047,0.6222207055463143,5,False,False,False,False,False
6,388.67395249659734,0.41638737711388146,44.387476005916355,0.9233903539418044,0.6257818397854247,3,False,False,False,False,False
7,334.4309297765553,0.41298605234236,45.20403707002684,0.8969097690128268,0.6144063106112776,3,False,False,False,False,False
8,285.0458869452448,0.3982340292557965,47.39615283890745,0.8559011876443852,0.6568680696579376,1,False,False,False,False,False
9,236.06767005924428,0.38957947469825666,52.04943123387223,0.8192296615953879,0.6629740733718628,1,False,False,False,False,False
10,208.77845445853978,0.3905354848953269,53.14833589480088,0.872055682376274,0.6394368570102034,1,False,False,False,False,False
