,totalStageScore,totalGameProgress,totalPlayTime,totalTimesStageClear,totalCommandExecuteTimes,perfectClearRate,hintUsageRate
totalStageScore,1.0,0.9792256947675215,0.7698103983586418,0.8653169304527423,0.7932512660472815,0.3708970735778101,-0.23325522781302746
totalGameProgress,0.9792256947675215,1.0,0.7658998716644636,0.8807043538124362,0.8086183722249201,0.26352408280429956,-0.0862990154061058
totalPlayTime,0.7698103983586418,0.7658998716644636,1.0,0.7721762869738273,0.6157153042239438,0.18639537536767853,-0.06036755631780206
totalTimesStageClear,0.8653169304527423,0.8807043538124362,0.7721762869738273,1.0,0.5664194606847922,0.22088586078650266,-0.07022243547667446
totalCommandExecuteTimes,0.7932512660472815,0.8086183722249201,0.6157153042239438,0.5664194606847922,1.0,0.23770638775481664,-0.09273140985748488
perfectClearRate,0.3708970735778101,0.26352408280429956,0.18639537536767853,0.22088586078650266,0.23770638775481664,1.0,-0.8013080541465231
hintUsageRate,-0.23325522781302746,-0.0862990154061058,-0.06036755631780206,-0.07022243547667446,-0.09273140985748488,-0.8013080541465231,1.0
